filename,cell_type
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00052.jpg,WBC
/images/BloodImage_00052.jpg,Platelets
/images/BloodImage_00052.jpg,Platelets
/images/BloodImage_00052.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,RBC
/images/BloodImage_00114.jpg,WBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,WBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,RBC
/images/BloodImage_00045.jpg,Platelets
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,RBC
/images/BloodImage_00199.jpg,WBC
/images/BloodImage_00199.jpg,Platelets
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,RBC
/images/BloodImage_00392.jpg,WBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,RBC
/images/BloodImage_00271.jpg,WBC
/images/BloodImage_00271.jpg,Platelets
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,RBC
/images/BloodImage_00307.jpg,WBC
/images/BloodImage_00307.jpg,Platelets
/images/BloodImage_00014.jpg,WBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,Platelets
/images/BloodImage_00014.jpg,Platelets
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00014.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,RBC
/images/BloodImage_00090.jpg,WBC
/images/BloodImage_00090.jpg,Platelets
/images/BloodImage_00090.jpg,Platelets
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,RBC
/images/BloodImage_00361.jpg,WBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,RBC
/images/BloodImage_00177.jpg,Platelets
/images/BloodImage_00177.jpg,Platelets
/images/BloodImage_00177.jpg,WBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,RBC
/images/BloodImage_00115.jpg,WBC
